SampleId	Class
0	2
1	2
2	2
3	2
4	2
5	2
6	1
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	1
17	2
18	2
19	2
20	2
21	2
22	1
23	2
24	2
25	2
26	2
27	1
28	2
29	2
30	2
31	1
32	1
33	2
34	1
35	2
36	2
37	2
38	2
39	2
40	1
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	1
49	2
50	2
51	2
52	2
53	2
54	2
55	1
56	2
57	2
58	1
59	2
60	2
61	2
62	2
63	1
64	2
65	2
66	2
67	1
68	2
69	2
70	2
71	2
72	1
73	2
74	2
75	2
76	1
77	2
78	2
79	2
80	2
81	2
82	1
83	2
84	2
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	1
94	1
95	2
96	2
97	2
98	2
99	2
